subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_vIDMBkcUyocz1cJ,1,1,1,1,2,2,26,1,,1
R_1Q5YvgP7loPZ0yw,1,1,1,4,1,1,36,1,,2
R_plRowwA4LNEndrr,1,5,6,6,6,1,26,1,,3
R_6tbs1Seua5et1CN,1,2,2,3,5,2,22,1,,2
R_1QMJtrVVl1hbyao,1,6,6,2,2,1,34,1,,4
R_sLsIUgH7Ylff0Zz,1,1,1,4,4,1,39,1,,1
R_djzmD5pevkLFMfb,1,7,6,2,5,1,27,4,,1
R_3KuUgXWEHJNE4ts,1,1,1,3,4,1,25,1,,3
R_ezFDfYk4Go28WwV,1,2,2,4,2,1,22,1,,2
R_3shNc8uAUKufH6V,1,1,1,3,1,1,20,1,,2
R_0HS6VEmPF6VwH0p,1,1,1,6,4,2,43,1,,6
R_z7sGdJFP0T0jEQ1,1,1,1,5,6,2,63,1,,4
R_1eDXZB9J0sxK7UV,1,2,2,2,2,1,40,1,,2
R_2zH0LfN7YC0CIZZ,1,1,1,3,5,1,29,1,,2
R_t0ANCvAs22EJgf7,1,1,1,4,2,2,52,1,,3
R_31GAWTASgcV4QJN,1,2,4,4,4,1,48,1,,3
R_27U8NXmlebVhaJO,1,1,1,2,1,1,28,1,,2
R_2v0pWRu37NzOfUy,1,1,1,4,3,2,35,1,,2
R_8vRTheWdFxSjqap,1,1,1,,1,1,36,1,,3
R_1ilHHjEqBkZZMWW,1,1,1,1,1,1,32,1,,2
R_3PaBJlR8sDiqYcA,1,2,2,2,1,2,26,4,,4
R_1puH32nDYe0y9Pc,1,4,5,4,3,2,24,2,,2
R_Qm59F2ZIQW7U03n,1,1,1,5,2,2,40,1,,4
R_31F4YnNJNC2xpmV,1,2,3,5,1,1,24,1,,4
R_1kIj3Tkj45aQd7h,1,1,3,2,1,1,30,1,,2
R_z6kFD1dMMBg7weR,1,1,2,2,2,2,41,1,,2
R_CgCYZagAppgse3f,1,3,2,5,5,1,44,1,,5
