subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_SPKpZ7qlIM04omJ,1,2,5,3,1,1,23,1,,2
R_3DqEZxstwVIOd2I,1,1,6,5,4,1,23,1,,3
R_A0TAfGgd93YDs3L,1,5,4,4,2,1,25,4,,1
R_3oSoTBvFsWsbjPC,1,3,5,2,1,2,25,4,,5
R_Q62rMrYz210tRD3,1,2,6,5,3,1,66,1,,3
R_3RaLruKnsDwJBTs,1,1,4,4,1,2,29,1,,1
R_21bqwkcyLlLFTDs,1,1,7,5,5,1,23,1,,4
R_5hEa2U4ZrSI9rfX,1,2,6,5,1,1,44,1,,2
R_3QWThsGSRGSHHb6,1,2,5,3,1,1,29,1,,3
R_31oB8Sll9N6DZ76,1,5,6,2,1,1,18,1,,2
R_1HAln3497M9mGad,1,4,5,3,1,1,20,1,,1
R_A6j8vgqoruS8dAR,1,2,4,3,1,2,37,1,,3
R_cNKEJ11ARc4dePH,1,6,2,3,1,1,22,1,,5
R_1r6drHmmmGRUBnr,1,7,2,4,5,1,37,1,,4
R_Z2gVyrfJF1zK97b,1,4,5,1,1,1,,2,,4
R_3lQgcK16yJlO5zl,1,7,7,4,2,1,22,1,,5
R_21t7jwYBcMuBe1F,1,1,6,2,1,1,26,1,,2
R_Tp9UyntBz71eWKR,1,1,6,4,5,1,23,1,,1
R_2b2ENDg1LS6ny66,1,1,7,5,1,1,27,1,,2
R_87Fpjb8A1rxsdZT,1,1,6,1,1,1,27,1,,1
R_2QM2In2uQU05iNj,1,6,6,6,6,1,49,1,,4
R_D32ltmwoHD1Qva9,1,3,5,2,2,1,24,1,,2
R_3sgj4rDoyoVuR8R,1,2,6,2,1,1,24,4,,5
R_31Y3Irft4d5QSwz,1,1,7,3,6,1,34,2,,3
R_269InZqrzAPil9m,1,4,5,5,6,2,34,1,,5
R_2WtXnIn4qkAPdwy,1,2,6,2,1,1,29,4,,4
R_9FTzrxYxtsZxmAZ,1,5,4,4,1,1,41,1,,3
R_YS1FEA6gE8KmXK1,1,3,3,3,2,1,34,1,,3
R_bf5UcqF5g0KLFnT,1,1,6,4,5,1,48,1,,1
R_RVvhVZqT59ussWB,1,1,1,6,2,2,25,3,,2
R_6F0I671h43iKeu9,1,1,7,6,5,2,35,1,,4
R_2rDyKvdCP9wIuGR,1,5,4,4,4,1,19,1,,1
R_29s8zmA8GC5rxQN,1,2,6,1,2,1,23,1,,2
R_1Ljnwe5cXWXuQ3d,1,2,5,2,1,1,32,1,,4
R_10OEcWNHc5YbxS8,1,7,1,6,6,2,49,1,,1
R_2uyoImYh9mlyRRU,1,1,6,2,1,1,22,1,,4
R_6A3p0tBBjhykG41,1,7,4,3,1,2,26,5,Multiracial,1
R_r1H5yLsBT7t4f3X,1,2,4,1,3,2,29,3,,2
R_TwuYk3FHWA5SC6l,1,2,6,3,1,1,21,2,,2
R_3EMdurx4dCURzcI,1,2,6,4,2,1,23,1,,1
R_31mkYBbqDsg98qN,1,2,5,3,4,2,35,4,,5
R_ux1C7BqN2fb45XP,1,2,6,2,2,1,20,4,,2
R_10OYtkrJkVoIlqi,1,1,7,3,4,2,39,1,,3
R_psEK7l1tTetLrB7,1,4,5,2,1,2,28,3,,2
R_1MWAMKfxhW8qa6b,1,1,4,4,4,2,41,1,,5
R_1llw9LZqAMM1Vxe,1,4,3,4,1,1,28,3,,4
R_33j7uJyNdKLiZiM,1,6,3,3,3,2,26,1,,1
R_p5wFbq70MAtY2fD,1,6,5,4,4,1,23,1,,1
R_Azfp1epwwVZ8kXT,1,1,7,1,1,2,29,1,,3
R_31KNdTDpGdaTDlU,1,1,7,3,1,2,21,2,,2
R_2xKpfup0M0Z76tO,1,2,5,2,1,2,20,1,,5
R_1DwiLMAcphOhJxz,1,1,1,3,1,1,31,1,,3
R_2do9fZWspdQJLZU,1,3,6,1,2,2,35,1,,3
R_1GTfindBk5J0n9h,1,2,4,3,1,2,44,1,,3
