subj,condition,description,dv,politics,religion,gender,age,race,race_TEXT,income
R_9TWPH3fxsoyVzJb,1,He could have left the pen there or found one somewhere else. He could have asked someone for a pen. He could have used it and left it there. ,1,2,1,1,35,1,,1
R_4PFJDyOm4DHYRPT,1,The professor could have found a pen from his own desk or one from a classroom - as I'm sure there are plenty laying around - especially if he noticed that he was taking the last pen. ,4,2,1,2,27,1,,1
R_bDH9xFnfpMOJbQp,1,The professor could have brought his own pen.  He could have used the pen and returned it when he was done. ,1,2,1,2,38,1,,2
R_1SSZCIgGbvdk7BP,1,They allowed people to take pens freely anytime and any day. I believe the professor's took the pen because it's free.,1,4,1,1,23,4,,1
R_0qhZ4PAnczYASnH,1,He may have not needed a pen. He shouldn't taken one unless it was needed. He could have left it there.,2,5,1,1,55,1,,1
R_ezgoypyOuQycmhv,1,Asked her if it was alright if he took the pen and if she was sure she still had some spares for her to use.,2,3,1,1,23,3,,3
R_0PpgE5eOCtEjMfH,1,The professor could have left the pen.  The professor could have used the pen for its intended use when originally taken and then returned it. The professor could have found another writing implement to use.,1,3,5,2,33,1,,3
R_0lxAkRldmCC9riR,1,He could or couldn't have taken a pen; but it's been highly encouraged.  I can't imagine him not.,1,4,4,2,33,1,,3
R_0dNtKfV8iSgICCF,1,Professor Smith could've opted to not take a pen; especially if he didn't particularly need one at the time. Alternatively; Professor Smith could've returned the pen once he was through using it. He also could've gotten a pen from somewhere else; instead of always relying on the receptionist to provide one.,3,2,1,2,30,1,,2
R_eJyWXb90FNZTZFX,1,He could have borrowed someone else's pen. / He could have bought a pen at a store. / He could have used a pencil.,1,6,2,1,34,1,,4
R_3f7BziiWxakIuFf,1,The professor probably thought that it wasn't a big deal considering the pens are fair game to the administrative assistants. He could have; however; asked one of the administrative assistants for a pen; knowing that the pens were offered to them. He most likely saw that he took the last pen as well and should have realized that the receptionist might need one.,4,4,1,2,28,1,,4
R_9LVbNieyXPMBZpr,1,Other than taking it he could have borrowed a pen from someone else since everyone probably has a lot of them. Or he could have just gone to his own desk and seen if he actually needed one; rather than just grabbing one. ,4,1,1,1,33,1,,1
R_e4nY7LcdPimnrdr,1,I suppose he could have brought his own pen with him; but since there is so much encouragement to use the ones at the desk it makes sense that he wouldn't have.  He could have also asked if anyone else needed the pen.,2,5,2,2,27,1,,1
R_eam0qX859vbxdiZ,1,Well; the professor could have brought his own pen or he could have borrowed one from a coworker. ,4,3,1,2,28,1,,2
R_3OT33n5vtjB4CtD,1,He could have asked to borrow a pen from someone else. He could have searched around his office and found another pen. He could have gone to the store and bought new pens and restocked the receptionist's desk. ,5,2,1,2,33,1,,2
R_ebuZqWhcO9NRCJf,1,He could have used the pen momentarily and then returned the pen. He could have decided that he has pens in his office and does not need extra pens. He could have seen that the pen he took was the last pen on the desk and decided that he would not take the last pen on the desk.,1,2,1,1,63,1,,3
