subj,condition,mediator,dv,moraljudg,politics,religion,gender,age,race,race_TEXT,income
R_1n94wNFgmPFeE08,1,3,2,3,3,2,1,24,1,,1
R_31Feg9J9vuU4G8d,1,2,7,7,3,6,1,41,1,,3
R_2fBByhsNamDh56n,1,1,7,6,6,6,1,44,1,,3
R_3DqGHGGXgFXJYN6,1,2,5,5,3,1,1,32,1,,1
R_0ULg9079l2PCbQh,1,1,7,4,2,1,2,27,1,,1
R_3g71P3ILgMK2eh8,1,1,7,7,3,1,2,35,1,,1
R_7V5xuCD1KdcVwCR,1,4,7,7,1,5,2,49,1,,1
R_1Hnrj5kbiyzs3KA,1,6,6,2,1,1,1,20,3,,2
R_3P7vElIbiITz0ym,1,1,7,7,4,3,1,28,1,,2
R_r2dY2HknH11INzP,1,7,1,1,6,6,1,30,1,,6
R_3HuF3jISi09x836,1,1,4,6,6,6,2,38,1,,1
R_bqJvn7RWvIyNNUF,1,1,7,7,1,1,2,24,1,,2
R_NVzm4LysVVAXdqV,1,1,6,6,3,4,1,26,3,,1
R_1is8GSOKsYw7qlO,1,1,6,6,5,6,2,28,1,,3
R_vCtCIgrnCDIMONX,1,4,4,5,2,2,1,35,1,,3
R_dgvs0OkW6ZKu8Pb,1,2,6,6,3,1,,26,1,,1
R_3lREL3LtyFMTxhC,1,1,1,7,5,1,1,32,1,,3
R_1MQSAWcGnZDPZqt,1,2,6,7,3,1,1,38,1,,1
R_3ewOpnC9viJY58S,1,2,1,7,4,4,1,35,1,,1
R_Y3IPR7IOE5KwD9T,1,3,6,6,4,2,1,47,1,,2
R_efJCrJyRdsNVZIt,1,2,7,7,3,1,2,26,1,,4
R_2fBRqolKHvR13ce,1,1,7,7,1,1,1,25,1,,1
R_czLPJQKkuU9tebT,1,2,1,7,3,2,1,33,1,,1
R_7TLhhjws5zZMjAx,1,2,5,3,2,1,1,26,1,,1
R_1DGW5HjRtPo1gMn,1,5,1,7,3,1,1,20,1,,1
R_bPI2RbpUM8TCco1,1,6,5,6,2,3,1,28,1,,2
R_RmhSYRypwyKQF0t,1,4,7,7,3,1,2,29,1,,2
R_2312pJoGW1GtoYG,1,1,7,7,2,3,2,26,3,,1
R_3EM6owwTeqvHuwC,1,4,3,6,4,2,2,34,,,3
R_3iPySCeRAYI12Y3,1,2,5,6,4,5,1,29,1,,3
R_sZmTqraeuUsd2yB,1,3,3,7,2,1,2,63,1,,1
R_24inDi5YlvY7nLo,1,1,6,4,3,1,1,29,1,,1
R_08JH4QqnYkRUoPb,1,7,5,4,3,1,1,23,3,,2
R_1d6s3GbUDBltpP5,1,1,7,7,2,1,2,23,3,,2
R_2B9UxRwpsWpdwnj,1,7,1,1,1,1,1,31,1,,2
R_1QivOj9AGoOP5nx,1,1,7,7,4,6,2,26,2,,1
R_0v0COuLA6rqaSgJ,1,2,3,6,4,1,1,40,1,,5
R_PwkbA0Jx0zeLFNT,1,1,7,4,1,1,2,26,1,,1
R_blWbwFKnAE8CQ6J,1,2,3,5,2,1,1,28,1,,1
R_T7QmLXyrPMait69,1,5,1,1,2,1,2,60,1,,2
R_2Tn3T9bDdPSsK6d,1,4,7,7,1,1,2,29,2,,2
R_3ncpcNAaDVn7KCs,1,5,7,7,2,1,2,28,1,,1
R_26bAKRAwqkbGf21,1,2,7,7,4,2,2,57,4,,3
R_bxxp71SZkqA3Ukx,1,3,7,5,3,4,2,60,1,,1
R_29bljlZzlvpcZMa,1,1,6,6,1,1,1,40,4,,2
R_2VdSHwYWP4Hf8qR,1,3,6,6,2,1,1,23,4,,2
R_33Dq0lHhp6mATTe,1,4,2,4,3,2,2,28,1,,1
R_AKHdwRJ7JsFEvG9,1,1,1,7,3,1,1,44,1,,3
R_3nuu2YgGMOXI1sZ,1,6,1,4,2,2,1,23,1,,1
R_yU5OBNMUKWCppoR,1,2,5,6,5,1,1,30,1,,3
R_271odyAtOTmsDAK,1,1,7,7,1,6,1,63,1,,2
R_2rIXDUXIAMbo24p,1,1,7,7,1,2,1,24,1,,1
R_xsZ5hg1WqQ7O5hL,1,1,2,3,4,1,1,28,1,,4
R_26fMg0voUIu6OHi,1,1,6,7,6,3,1,47,1,,1
R_1Fmjto991VVp0Zl,1,2,6,6,3,3,1,25,4,,1
R_2qmENrN1dGwNNfL,1,1,7,7,1,1,2,45,1,,1
R_1rH3CM0htKQnDPE,1,2,4,7,3,4,1,26,1,,1
R_122TH4bxDfvu95C,1,4,2,2,2,2,1,25,1,,3
R_ebp94THVB0AYX0R,1,1,7,7,1,1,1,30,1,,2
R_e3dflAAZnIZyv17,1,3,1,6,4,5,2,43,1,,2
R_1LUxIQagDxvgaiq,1,3,1,4,3,2,1,74,1,,1
R_W1iO3LbKHoajE3v,1,7,7,7,2,1,1,33,4,,1
R_3OrIdinrH1fDWHW,1,1,3,5,5,5,2,52,1,,1
R_1OC9TAtKqFf5wh9,1,1,2,2,2,1,1,23,1,,2
R_AogoBSRlYw2gKPf,1,1,1,1,1,1,2,30,1,,1
R_08UF4mGGivev2Ad,1,2,2,5,1,1,2,19,1,,1
R_1DIlIKOE66Qs966,1,4,4,5,3,4,2,30,1,,2
R_1dB12UltdjBbBY0,1,2,7,6,6,2,2,24,1,,1
R_2wc3hZgog9uCBn0,1,6,4,7,4,3,2,27,1,,3
R_3E3zawa7pSEyb6N,1,1,5,6,5,5,1,23,4,,3
R_3foxCNBOtPYz7tt,1,1,7,7,2,1,2,57,1,,1
R_1QfNehxMbCn9s3i,1,1,7,4,1,1,2,28,5,Caucasian & Native American,1
R_6Api2AO1gLGraQJ,1,3,5,4,2,2,1,23,3,,1
R_2w5JoRjlswUrVgc,1,1,6,7,2,4,1,35,3,,2
R_2anUnRDYXtz2Zcu,1,1,1,7,4,1,1,28,1,,2
R_33qlju8uYKyVXsV,1,5,3,5,3,4,2,55,1,,2
R_UDW8XvqqBmZcyjL,1,1,7,7,3,1,1,65,1,,2
R_1guop9fKOWIawHJ,1,1,7,6,2,1,1,24,1,,2
R_1roZja7C8b9YikS,1,1,1,5,6,5,1,38,1,,2
R_1Fnxzsx6FAmPGIF,1,6,2,3,3,1,1,22,1,,1
R_1mLvkc3g9dXxOIM,1,2,3,5,4,4,2,53,1,,2
R_6XtT0yc9HE8W49j,1,3,2,4,6,1,1,38,1,,3
R_DOEH2gv6GsdYXyF,1,4,1,4,6,1,1,51,1,,6
R_1dxVizVOJmFu4gi,1,2,5,5,5,5,1,19,1,,2
R_247zj1ucLCTzD8c,1,5,2,3,3,1,1,43,1,,4
R_1Nk19FvexD01wlj,1,3,5,5,1,1,2,21,5,biracial,1
R_3iR1tkVPEtnDNU8,1,3,1,4,3,1,2,25,1,,1
R_vYLz63hh4vGGOat,1,3,7,5,5,2,1,23,3,,2
R_2xVIsqlrxRKWFG1,1,5,6,5,1,4,2,25,2,,1
R_2PA3tALGsR548R7,1,2,5,5,3,2,1,19,4,,7
R_1LSZbG6I7ZzUI8H,1,1,7,7,2,1,2,24,1,,1
R_eVFdYrZYYDZP2g1,1,2,2,6,3,6,1,24,1,,3
R_1erR779cxwugR6F,1,7,3,7,2,1,2,25,1,,2
R_8jkALtl8KBzXzuV,1,1,7,7,3,1,1,26,1,,1
R_22LGmGhoDb2HVWP,1,3,7,7,2,4,1,33,2,,2
R_UgqhgBW7yywpZKN,1,1,4,4,3,1,1,28,1,,1
R_2CDtZvXBYzpuK1h,1,3,2,4,1,1,2,32,1,,5
R_3KPZVyiPXeDPCWS,1,2,6,6,2,1,2,31,1,,4
R_33gqTKfqVKNS2AT,1,7,7,6,2,5,2,24,2,,2
R_bkeYjXOwsu2OZ21,1,5,2,4,3,5,1,24,3,,1
R_Aps6RPdmj4l4heF,1,1,7,7,2,2,1,22,1,,1
R_1FJ5IOBOi0BGs3c,1,1,5,7,3,1,2,50,1,,2
R_1oj9qgkyNYztBUe,1,1,2,5,3,1,2,40,1,,1
R_1dy2GzhylT7AxOZ,1,3,3,5,2,1,2,55,1,,1
R_1HipvZbkf1VCLaz,1,1,7,7,5,4,2,55,1,,3
R_1KqntO05PNBLO8U,1,7,2,2,3,1,1,20,1,,1
R_eJQmM9calXeixvb,1,4,6,4,3,5,1,25,3,,1
R_2S0OZE1AwAb9uma,1,1,7,7,1,1,2,31,1,,1
R_3I9m8NlORJfKndJ,1,1,7,7,2,6,1,24,4,,1
R_1gV1I0HRT6SjG14,1,1,2,6,2,1,1,28,1,,2
R_2AGS14jCrp4OCX8,1,3,6,4,1,2,2,25,1,,1
R_XuNL1HnDvm9HLMJ,1,1,7,6,5,5,1,23,1,,2
R_blNjD6C5ZMA2fW9,1,1,1,4,3,1,1,29,1,,3
R_21ig9xD9cZcYfCa,1,6,1,1,5,5,1,28,1,,6
R_3M4OSHlsNiLtoIq,1,3,5,5,2,5,1,28,4,,1
R_12lIFsIe6FMcREp,1,4,7,7,1,1,1,23,2,,1
