subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_3r1wh1hszu6IDyg,1,3,7,1,1,1,29,1,,2
R_1Ij9ENr9vwGbALj,1,2,6,4,1,1,32,1,,3
R_2rqeGL64Kxxm5SN,1,1,7,3,1,1,53,1,,1
R_3Ei2rs2WDo78h1Y,1,2,6,3,2,1,41,1,,1
R_31T9chI0PJYaA61,1,2,6,3,1,2,50,1,,2
R_2zBm1PzTD3jDtuT,1,2,6,2,1,1,26,1,,1
R_1hHdjdKnU5xy1LC,1,1,7,2,1,2,27,4,,2
R_vqWU7oycH4Lfw8p,1,2,6,3,2,1,24,1,,3
R_OcLijIoO5d6ZpAd,1,5,2,2,3,2,28,1,,4
R_1OGG5iUgEG4WHv6,1,3,4,4,2,1,24,1,,4
R_3KD4wFoVFsIMFc5,1,1,7,2,1,2,29,1,,1
R_1f9O1EFPpwgkLgQ,1,1,7,3,1,1,22,1,,2
R_22zwMZe2r8bd5PU,1,6,7,3,1,1,36,3,,2
R_1nTq359lAT6aZLb,1,3,4,3,4,1,23,4,,1
R_9zrPCAG60if64nP,1,2,5,2,1,1,36,1,,3
R_TjzdEQHT7jX1FJL,1,1,7,4,2,1,33,1,,2
R_bfTb76B7qaM0ltD,1,3,5,4,4,1,22,4,,3
R_3MzFppfsMFxpckr,1,1,7,3,4,2,45,1,,2
R_2V2wNYauR89tIYX,1,3,7,3,4,1,32,1,,2
R_2aWD3Zgk78HFRi3,1,3,6,3,3,2,27,1,,3
R_237vmcKAA1ihJUA,1,1,7,4,2,1,20,1,,1
R_3nUf83T6SyvDmSN,1,2,5,2,1,1,28,1,,3
R_12zp9e6nzLE5KYp,1,2,7,1,4,1,22,1,,2
R_33akXuM19ww1MoQ,1,4,3,3,1,1,20,3,,1
R_3GfArO15X6PCBwZ,1,7,7,1,5,1,31,1,,2
R_86Y2Q33yWCM1Mw9,1,1,7,2,1,1,21,1,,2
R_2VwrbSLgbLyiDZu,1,1,6,1,1,1,23,3,,3
R_23ahYMq8ONcLWAb,1,2,7,4,3,2,25,5,Guyanese,1
R_1LNXBhiYoynys45,1,1,7,2,1,2,36,4,,5
R_1IEE7RtGZ7rTGKD,1,1,7,2,1,2,23,1,,1
R_2viSAwLseOFdY7o,1,2,7,3,5,1,26,2,,2
R_2veuwXjYHNcy9Ie,1,2,3,3,1,1,23,3,,1
R_2PmJMQtrKtzr81c,1,5,5,4,3,1,28,1,,2
R_1rNWyURh1kWD5TR,1,5,5,4,3,1,28,1,,2
R_3RrdnIm9niCKLLI,1,5,3,4,4,1,31,1,,3
R_1q55sUk9glAah8u,1,5,5,2,1,1,33,1,,1
R_2z6bIy4EgyEJCWp,1,1,7,4,5,2,62,1,,1
R_Ray95PpTGCe6IeZ,1,3,5,2,1,1,38,4,,3
