subj,condition,description,dv,politics,religion,gender,age,race,race_TEXT,income
R_5j5Jj9GpbdHceJD,2,The same thing would have happened,1,4,4,1,26,1, ,4
R_8xeszCt0ZhZM1A9,2,They might've looked for a new program that would assure the consumer base would shift.,1,2,2,2,29,1, ,2
R_82PCFJM9x1xQyLX,2,He did not seem to care how old his consumer base was. Old or young; profits were all that mattered. If he had wanted an older consumer base; this project certainly duid the trick,2,5,5,1,57,1, ,6
R_ezZMTsYCJwLUU7P,2,The same thing; presumably. Maybe the shift towards an older base would have been stronger if he had wanted it to happen.,5,4,6,1,24,1, ,1
R_299BOUcxGBmJnHn,2,If he had specifically wanted to shift the consumer base then he still would have made the same decision. It wouldn't have made any difference.,1,3,1,1,29,1, ,2
R_cOPIFOOCsCYf7U1,2,He would have been even more for it. Since he didn't care; the fact that the new program would have aligned with his wishes would have made him doubly happy.,5,2,5,1,26,1, ,2
R_9pCWrPsJ3cCHSzr,2,If he wanted this to be a goal rather than an unintended consequence; he might have put more effort into market research to find out how to specifically shift to this consumer base and whether or not it was likely the proposed move would indeed cause the hift.,1,1,1,2,38,1, ,3
R_b7bDyUJcKH99nH7,2,He wanted to make more money and didn't care about the shifting of the  customer base. He was just driven by greed and had no concern for the customers.,3,3,3,2,21,4, ,2
R_5jbaG79RrEFKrTn,2,They would have investigated ways to do so.,4,1,2,1,27,1, ,1
R_3acjwYr9yiAKy8J,2,The chairman didn't care about shifting the consumer base. Had he wanted to; he might have asked for a few tweaks to be put in; but nothing major.,1,1,1,1,28,1, ,1
R_1LocmEYyVsvSfsN,2,If the chairman of the board had wanted to shift the consumer base through the new program; the results may have been different because thiswould have been the aim. The company may have chosen a different program thatmight not have worked to shift the conumer base.,1,1,5,2,35,2, ,2
R_3pZwzexWUojB4Wh,2,The chairman of the board had no strong feelings toward the shifting consumer base; with profit being more important in his eyes. If he wanted to shift the consumer base in this way; the image of the company from the perspective of the public would have canged. The shift also caused the company to become more profitable.,5,2,2,1,26,4, ,2
R_dnfK6BxhxkqzahD,2,If he has wanted to shift the consumer base to be slightly older than the same senario might have happened. He might even have pushed for further marketing and advertising.,2,3,6,2,30,2, ,4
